Адрес организации,Номер телефона орагнизации,Номер дополнительного телефона орагнизации,email aдрес,Адрес сайта,Работает ли сайт?,title сайта организации,description сайта организации,keywords сайта организации,Cайт принадлежит организации?,Количество подписчиков Instagramm,Ссылки на соц. сети в Instagramm,Количество подписчиков VK,Ссылки на соц. сети в VK,Количество подписчиков youtube,Ссылки на соц. сети в youtube,id региона,Полное наименование об организации (по уставу),Краткое наименование организации,Дата создания организации,Юридическое лицо / Филиал,Общее количество сотрудников,Субъект РФ,Тип организации,Количество занимающихся детей,Количество занимающихся детей художественной направленностью,Количество занимающихся детей естественно-научной направленностью,Количество занимающихся детей технической направленностью,Количество занимающихся детей социально-педагогической направленностью,Количество занимающихся детей физкультурно-спортивной направленностью,Количество занимающихся детей туристической направленностью,Количество занимающихся детей интеллектуально игровой направленностью,Фактическая наполняемость,Количество педагогов,Количество педагогов художественной направленности,Количество педагогов естественно-научной направленности,Количество педагогов технической направленности,Количество педагогов социально-педагогической направленности,Количество педагогов физкультурно-спортивной направленности,Количество педагогов туристической направленности,Количество педагогов интеллектуально игровой направленности,okfs,okopf,ogrn,inn,Номер бланка лицензии,Кем выдана лицензии,Cрок лицензии,id,Техническое,Естественнонаучная
"край. Алтайский, г. Славгород, ул. Ленина, дом 164, 658823",83856853131,Неизвестно,slavgoroddeti@mail.ru,http://slavgcdut.ucoz.ru/,True,Центр творчества детей и молодежи г. Славгорода - Главная страница,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,15,"муниципальное бюджетное образовательное учреждение дополнительного образования ""Центр творчества детей и молодежи"" г. Славгород","МБОУ ДО ""Центр творчества детей и молодёжи"", г. Славгород",1948-11-24,Юридическое лицо,36,Алтайский край,Организация дополнительного образования,1451,459,659,120,213,0,0,0,1451,25,6,7,2,10,0,0,0,Государственная собственность,Неизвестно,1022200866830,2210005954,306,Главное управление образования и молодежной политики Алтайского края,Бессрочная,5042,True,True
"обл. Тамбовская, р-н. Мордовский, рп. Мордово, ул. Коммунальная, дом 35, 393600",84754231769,Неизвестно,mordovo.moudod2011@yandex.ru,http://ddt-mordovo.68edu.ru,True,Мордовский районный  Дом детского творчества |,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,55,Муниципальное бюджетное учреждение дополнительного образования «Районный Дом детского творчества» р.п. Мордово,МБУ ДО РДДТ р.п. Мордово,1965-04-01,Юридическое лицо,24,Тамбовская область,Организация дополнительного образования,500,401,0,39,20,30,10,0,500,21,14,0,1,2,3,1,0,Государственная собственность,Муниципальные бюджетные учреждения,1026800953365,6808003934,0000583,Управление образования и науки Тамбовской области,Бессрочная,1226,True,False
"край. Красноярский, г. Железногорск",83919750755,Неизвестно,l-vzlet@yandex.ru,https://oc-vzlet.ru,True,"Главная - Оф.сайт Детского оздоровительного-образовательного центра ""Взлет""","Официальный сайт Детского оздоровительного-образовательного центра (лагеря) ""Взлет"" г. Железногорск","ДОУ Взлет Железногорск, детский центр (лагерь) Взлет Железногорск, мбдоу Взлет Железногорск, дет центр (лагерь) Взлет, дет центр (лагерь)  Взлет, дет центр (лагерь) Взлет, дет центр (лагерь) Взлет Железногорск, детцентр (лагерь) Взлет, детцентр (лагерь) Взлет Железногорск",True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,16,"Муниципальное автономное учреждение дополнительного образования детский оздоровительно-образовательный центр ""Взлет"" г. Железногорск","МАУ ДО ДООЦ ""Взлет"" г. Железногорск",2013-04-01,Юридическое лицо,49,Красноярский край,Организация дополнительного образования,293,105,54,0,44,90,0,0,316,8,3,1,0,1,3,0,0,Государственная собственность,Муниципальные автономные учреждения,1132452000768,2452039222,002696,Министерством образования Красноярского края,Бессрочная,1560,False,True
"край. Алтайский, г. Барнаул, р-н. Индустриальный, 656000",83852569463,83852569462,pesnohorki@yandex.ru,http://песнохорки.рф,True,"МБУ ДО ЦЭВ ""ПЕСНОХОРКИ"" — Муниципальное бюджетное учреждение дополнительного образования г.Барнаула Алтайского края",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,15,"Муниципальное бюджетное учреждение дополнительного образования ""Центр эстетического воспитания ""Песнохорки"" г. Барнаул","МБУ ДО ЦЭВ ""Песнохорки"" г. Барнаул",1995-04-10,Юридическое лицо,35,Алтайский край,Организация дополнительного образования,1539,876,0,157,59,0,447,0,1539,18,11,0,1,2,0,4,0,Государственная собственность,Неизвестно,1022201140048,2222025779,0002057,Главное управление образования и молодёжной политики Алтайского края,Бессрочная,5116,True,False
"г. Санкт-Петербург, ул. Есенина, дом 34, кор. 2, лит. А, 194358",88124172733,88125174924,114@shko.la,http://114.shko.la,True,Гимназия №114                                          Выборгского района Санкт-Петербурга,Официальный сайт гимназии 114,Не найдено,True,Нет аккаунта,Нет аккаунта,1278,{'https://vk.com/gimnaziya114'},Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение гимназия № 114 Выборгского района Санкт-Петербурга,ГБОУ гимназия №114 Выборгского района Санкт-Петербурга,Не известно,Юридическое лицо,114,Санкт-Петербург,Общеобразовательная организация,346,45,60,46,60,120,15,0,928,21,3,4,3,4,6,1,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027801583501,7802120520,78Л01 №0000303,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,3188,True,True
"обл. Белгородская, р-н. Чернянский, п. Чернянка, ул. Садовая, 309560",84723255830,Неизвестно,stanciaunnatov@yandex.ru,https://stunnatcher.ucoz.ru,True,Сайт чернянской станции юннатов - Главная,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,23,"Муниципальное бюджетное учреждение дополнительного образования ""Районная станция юных натуралистов"" Чернянского района Белгородской области","МБУ ДО ""РСЮН"" п. Чернянка",1991-09-01,Юридическое лицо,30,Белгородская область,Организация дополнительного образования,450,172,278,0,0,0,0,0,450,30,10,20,0,0,0,0,0,Государственная собственность,Неизвестно,1023101267056,3119004054,8037,Департамент образования Белгородской области,Бессрочная,2649,False,True
"обл. Челябинская, г. Челябинск, ул. Молодогвардейцев, дом 60А, 454021",83517420421,83517929404,mudod-raduga@mail.ru,http://raduga.lbihost.ru,True,МБУДО «ЦВР “Радуга”»,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,61,Муниципальное бюджетное учреждение дополнительного образования «Центр внешкольной работы «Радуга» г. Челябинска»,"МБУДО ""ЦВР ""Радуга"" г. Челябинска""",2007-05-22,Юридическое лицо,50,Челябинская область,Организация дополнительного образования,2207,1219,0,30,189,769,0,0,2207,36,19,0,1,3,13,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1077447017702,7447118407,0001920,Министерство образования и науки Челябинской области,Бессрочная,5364,True,False
"обл. Челябинская, г. Троицк, ул. им Н.Ф.Гастелло, дом 60, 457100",73516372528,Неизвестно,trddt@mail.ru,http://ddt74.3dn.ru,True,"""Дом детского творчества"" - Главная страница",Не найдено,Не найдено,True,124,{'https://www.instagram.com/tr_ddt/'},420,{'https://vk.com/trddt'},Нет аккаунта,Нет аккаунта,61,"Муниципальное бюджетное образовательное учреждение дополнительного образования ""Дом детского творчества""","МБОУ ДО ""ДДТ""",1972-09-01,Юридическое лицо,22,Челябинская область,Организация дополнительного образования,756,508,0,33,93,122,0,0,740,9,5,0,1,2,1,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1047408505693,7418013463,11655,Министерство образования и науки Челябинской области,2029-04-10,7099,True,False
"г. Санкт-Петербург, ул. Авангардная, дом 43, лит. А, 198205",88127354831,Неизвестно,school237krasn@mail.ru,https://школа237.рф,True,Официальный сайт ГБОУ СОШ № 237 Красносельского района Санкт-Петербурга,Официальный сайт ГБОУ СОШ № 237 Красносельского района Санкт-Петербурга,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 237 Красносельского района Санкт-Петербурга,ГБОУ СОШ № 237 Красносельского района Санкт-Петербурга,1971-10-04,Юридическое лицо,123,Санкт-Петербург,Общеобразовательная организация,531,177,15,15,165,144,15,0,905,28,8,1,1,9,8,1,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027804603650,7807024436,78 № 002281,Комитет по образованию Санкт-Петербурга,2028-09-01,6728,True,True
"край. Краснодарский, г. Краснодар, ул. Северная",88612598146,Неизвестно,cdiutt@mail.ru,https://rmcctt@mail.ru,True,"Mail.ru: почта, поиск в интернете, новости, игры","Почта Mail.ru — крупнейшая бесплатная почта, быстрый и удобный интерфейс, неограниченный объем ящика, надежная защита от спама и вирусов, мобильная версия и приложения для смартфонов. Доступ по IMAP, SMS-уведомления, интерфейс на разных языках и темы оформления Почты. Также на Mail.ru: новости, поиск в интернете, авто, спорт, игры, знакомства, погода, работа.","почта, создать почту, почтовый ящик, почта для телефона, регистрация в почте, бесплатная электронная почта, новости, поиск в интернете, авто, спорт, игры, знакомства, погода, работа",True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,5,"Государственное бюджетное учреждение дополнительного образования Краснодарского края ""Центр детского и юношеского технического творчества""",ГБУ ДО КК ЦДЮТТ г. Краснодар,1968-01-01,Юридическое лицо,32,Краснодарский край,Организация дополнительного образования,276,0,0,276,0,0,0,0,300,11,0,0,11,0,0,0,0,Государственная собственность,Неизвестно,1062310006021,2310110720,0004461,"Министерство образования, науки и молодежной политики Краснодарского края",Бессрочная,4032,True,False
"обл. Орловская, р-н. Колпнянский, пгт. Колпна, ул. Комсомольская, дом 3, 303410",84867421731,Неизвестно,alenteva.63@mail.ru,Неизвестно,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,92,"Муниципальное бюджетное учреждение дополнительного образования ""Дом детского творчества"" пгт. Колпна",МБУ ДО Дом детского творчества пгт. Колпна,1973-09-01,Юридическое лицо,Неизвестно,Орловская область,Организация дополнительного образования,106,64,13,15,14,0,0,0,106,6,3,1,1,1,0,0,0,Неизвестно,Неизвестно,1025700603059,5711002580,0000554,Департамент образования Орловской области,Бессрочная,3264,True,True
Неизвестно,88652357055,88652352447,info@stavpoisk.ru,https://stavdeti.ru,True,Государственное автономное образовательное учреждение дополнительного образования «Центр для одаренных детей «Поиск»,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,18,"Государственное автономное образовательное учреждение дополнительного образования Центр одаренных детей ""Поиск"" г. Ставрополь","ГАОУДО Центр ""Поиск"" г. Ставрополь",1991-04-11,Юридическое лицо,Неизвестно,Ставропольский край,Организация дополнительного образования,3249,0,867,318,2064,0,0,0,Не известно,59,0,20,9,30,0,0,0,Неизвестно,Неизвестно,1022601954540,2635009017,4462,Министерство образования и молодежной политики Ставропольского края,Бессрочная,3375,True,True
"обл. Тамбовская, г. Кирсанов, ул. 50 лет Победы, 393360",84753736873,Неизвестно,vkursedela@rambler.ru,https://cdtg37.68edu.ru./,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,55,Муниципальное бюджетное учреждение дополнительного образования «Центр детского творчества» г. Кирсанов,МБУ ДО ЦДТ г. Кирсанов,1951-03-31,Юридическое лицо,20,Тамбовская область,Организация дополнительного образования,860,418,14,15,413,0,0,0,400,18,8,1,1,8,0,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1056852884296,6824000419,0000415,Управление образования и науки Тамбовской области,Бессрочная,1220,True,True
"г. Санкт-Петербург, пер. Дегтярный, дом 24, лит. А, 191015",88125739793,88125739791,sch174@center-edu.spb.ru,http://школа174.рф,True,"Официальный сайт школы №174 Санкт-Петербурга | 191015, Россия, г. Санкт-Петербург, переулок  Дегтярный,  дом  24  литер А, sch174.centr@obr.gov.spb.ru",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №174 Центрального района Санкт-Петербурга,ГБОУ школа №174 Центрального района Санкт-Петербурга,Не известно,Юридическое лицо,52,Санкт-Петербург,Общеобразовательная организация,420,105,60,90,45,120,0,0,300,17,4,2,3,2,6,0,0,Государственная собственность,Неизвестно,1037843012866,7825439916,002419,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,6783,True,True
"обл. Томская, р-н. Асиновский, г. Асино, ул. Партизанская, дом 47, 636840",83824123056,83824122828,ddtasino@mail.ru,https://sutasino@rambler.ru,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,57,Муниципальное автономное образовательное учреждение дополнительного образования Центр творчества детей и молодёжи города Асино Томской области,МАОУДО ЦТДМ г. Асино,1953-01-01,Юридическое лицо,30,Томская область,Организация дополнительного образования,1014,654,60,90,90,120,0,0,1014,19,6,2,2,5,4,0,0,Неизвестно,Неизвестно,1027002953702,7002009160,1333,"Комитетпо контролю, надзору и лицензированию в сфере образования Томской области",Бессрочная,2266,True,True
"край. Красноярский, г. Железногорск, ул. Сибирская, дом 19, 662977",83919762353,83919762354,sun@k26.ru,https://ecobiocentr.ru,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,16,Муниципальное бюджетное учреждение дополнительного образования «Детский эколого-биологический центр» г. Железногорск,МБУ ДО ДЭБЦ г. Железногорск,1978-01-01,Юридическое лицо,37,Красноярский край,Организация дополнительного образования,991,0,943,0,0,0,48,0,991,11,0,10,0,0,0,1,0,Государственная собственность,Муниципальные бюджетные учреждения,1022401405839,2452015711,24Л01 № 0001160,Министерством образования Красноярского края,Бессрочная,4094,False,True
"обл. Челябинская, р-н. Нагайбакский, с. Фершампенуаз, ул. Мира, 457650",83515723379,Неизвестно,fok-2001@mail.ru,Неизвестно,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,61,"Муниципальное учреждение дополнительного образования Центр физкультурно-оздоровительный ""ОЛИМП"" Нагайбакского муниципального района Челябинской области","МУ ДО ЦФО ""ОЛИМП""",2001-02-01,Юридическое лицо,19,Челябинская область,Организация дополнительного образования,239,0,0,30,32,163,14,0,239,9,0,0,1,1,6,1,0,Неизвестно,Неизвестно,1027401782176,7435007580,12960,Министерство образования и науки Челябинской области,2016-07-14,5216,True,False
"обл. Ярославская, г. Ярославль, ул. Зои Космодемьянской, дом 4а, 150003",84852726217,Неизвестно,zdtyar@mail.ru,https://cdt-yar.edu.yar.ru/,True,Главная,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,857,"{'https://vk.com/zdtgorizont?z=video-42232401_456239158%2F846f284fcedc17053f%2Fpl_wall_-42232401', 'https://vk.com/zdtgorizont?z=video-42232401_456239163%2F16597fb41dd4dbb06c%2Fpl_wall_-42232401', 'https://vk.com/zdtgorizont', 'https://vk.com/zdtgorizont?z=video-42232401_456239170%2Fbd8c4e432ee1bf04fa%2Fpl_wall_-42232401', 'https://vk.com/away.php?to=https%3A%2F%2Fyadi.sk%2Fd%2FOy9HbGEqEPFQRA%3Fw%3D1&post=-42232401_1421&cc_key=', 'https://vk.com/zdtgorizont?z=video-42232401_456239160%2F331047b77695005ed2%2Fpl_wall_-42232401', 'https://vk.com/zdtgorizont?z=video-42232401_456239166%2F587bde749747a89ff6%2Fpl_wall_-42232401'}",2330,{'https://www.youtube.com/c/OkamiDojo'},63,"муниципальное образовательное учреждение дополнительного образования Центр детского творчества ""Горизонт"" г. Ярославль","МОУ ЦДТ ""Горизонт"" г. Ярославль",1986-08-26,Юридическое лицо,Неизвестно,Ярославская область,Организация дополнительного образования,1318,701,42,98,179,298,0,0,Не известно,27,9,1,5,6,6,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1027600844457,7606037227,76ЛО2 №0000762,Департамент образования Ярославской области,Бессрочная,1596,True,True
"обл. Саратовская, г. Саратов, ул. Перспективная, 410064",88452620782,Неизвестно,ddtsol@mail.ru,https://ddtsol.ru,True,"Дом Детского Творчества ""Солнечный""",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,57,{'https://vk.com/ddtsolsidimdoma'},65,{'https://www.youtube.com/channel/UCMIeViIz0y946O3X2Z9_PeQ?view_as=subscriber'},51,"Муниципальное учреждение дополнительного образования ""Дом детского творчества ""Солнечный"" Ленинского района города Саратова","МУДО ДДТ ""Солнечный"" г. Саратов",1997-09-01,Юридическое лицо,80,Саратовская область,Организация дополнительного образования,1080,564,0,50,130,336,0,0,1080,35,17,0,1,7,10,0,0,Государственная собственность,Муниципальные бюджетные учреждения,1036405308180,6453056041,2265,Министерство образования Саратовской области,Бессрочная,800,True,False
"г. Санкт-Петербург, пр-кт. Богатырский, дом 19, лит. А, 197227",88123471984,Неизвестно,school644@mail.ru,Неизвестно,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное образовательное учреждение средняя общеобразовательная школа №644 Приморского района Санкт-Петербурга,ГБОУ СОШ №644 Приморского района Санкт-Петербурга,1999-02-23,Юридическое лицо,18,Санкт-Петербург,Общеобразовательная организация,476,104,66,49,37,220,0,0,1047,17,4,4,2,2,5,0,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027807581493,7814103897,№818,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,3143,True,True
Неизвестно,73842521710,Неизвестно,guotcdo@mail.ru,Неизвестно,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,34,Государственное автономное учреждение дополнительного образования «Областной центр детского (юношеского) технического творчества и безопасности дорожного движения» г. Кемерово,ГАУДО ОЦДТТБДД г. Кемерово,2009-11-03,Юридическое лицо,51,Кемеровская область,Организация дополнительного образования,1020,0,0,1020,0,0,0,0,1020,51,0,0,51,0,0,0,0,Государственная собственность,Государственные автономные учреждения субъектов Российской Федерации,1094205020964,4205188600,Не известно,Не известно,Не известно,5776,True,False
"обл. Оренбургская, р-н. Северный, с. Северное, ул. Чапаева, дом 32, 461670",83535421991,83535421777,zwr_sewernoe@mail.ru,https://zwrsewernoe.ucoz.ru,True,Официальный сайт ЦВР - Главная,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,91,"Муниципальное бюджетное учреждение дополнительного образования ""Северный центр внешкольной работы"" Северного района Оренбургской области","МБУДО ""Северный ЦВР""",1966-08-01,Юридическое лицо,111,Оренбургская область,Организация дополнительного образования,1760,278,311,151,656,195,169,0,1760,111,19,20,10,40,11,11,0,Государственная собственность,Муниципальные бюджетные учреждения,1035612600649,5645002432,56Л01 №0004269,Министерство образования Оренбургской области,Бессрочная,6638,True,True
Неизвестно,83532333389,Неизвестно,mslavyane@mail.ru,https://slavsoren.ru,True,МАУДО «Многопрофильный центр дополнительного образования детей» - официальный сайт,МАУДО «Многопрофильный центр дополнительного образования детей» - официальный сайт,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,91,"Муниципальное автономное учреждение дополнительного образования ""Многопрофильный центр дополнительного образования детей""","МАУДО ""МЦДОД""",1998-03-27,Юридическое лицо,87,Оренбургская область,Организация дополнительного образования,2741,1116,0,30,428,735,432,0,2741,48,24,0,1,10,7,6,0,Государственная собственность,Муниципальные автономные учреждения,1035605505100,5610054013,56Л01 №0005488,Министерство образования Оренбургской области,Бессрочная,7445,True,False
"край. Ставропольский, р-н. Апанасенковский, с. Дивное, ул. Шевченко, дом 46, 356721",88655550619,Неизвестно,stancija@rambler.ru,http://stancija.edusite.ru,True,Главная,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,18,"Муниципальное казенное учреждение дополнительного образования ""Станция юных натуралистов"" с. Дивное",МКУДО СЮН с. Дивное,1988-02-22,Юридическое лицо,7,Ставропольский край,Организация дополнительного образования,451,0,451,0,0,0,0,0,451,7,0,7,0,0,0,0,0,Государственная собственность,Муниципальные казенные учреждения,1022602622019,2602004782,0001316,Министерство образования и молодежной политики Ставропольского края,Бессрочная,3688,False,True
"край. Хабаровский, г. Хабаровск, ул. Юности, 680045",4212339542,Неизвестно,otrada-khb@rambler.ru,http://otradakhb.ru/,True,Эстетический центр «Отрада» - «Отрада» Детский эстетический центр,Центр эстетического воспитания детей «Отрада» - Муниципальное автономное учреждение дополнительного образования г. Хабаровска,"Отрада, дополнительное образование для детей, обучение дети, воспитание детей Хабаровс, Отрада Хабаровск, студия дошкольного обучения",True,509,{'https://www.instagram.com/otrada_khv/'},Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,19,Муниципальное автономное учреждение дополнительного образования  г. Хабаровска « Центр эстетического воспитания детей «Отрада»,МАУ ДО ЦЭВД «Отрада» г. Хабаровск,2004-03-15,Юридическое лицо,Неизвестно,Хабаровский край,Организация дополнительного образования,1250,768,0,162,220,100,0,0,1250,29,12,0,5,9,3,0,0,Государственная собственность,Муниципальные автономные учреждения,1042700215381,2723062299,2420,Министерство образования и науки Хабаровского края,Бессрочная,1798,True,False
"г. Санкт-Петербург, пр-кт. Ветеранов, дом 57, лит. А, 198255",88127526472,Неизвестно,sc249@kirov.spb.ru,http://school249.spb.ru,True,"
Школа №249 | Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа № 249 имени М.В. Маневича Кировского района Санкт-Петербурга",Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное образовательное учреждение средняя общеобразовательная школа № 249 имени М.В. Маневича Кировского района Санкт-Петербурга,ГБОУ СОШ № 249 им. М.В. Маневича Кировского района Санкт-Петербурга,1968-09-01,Юридическое лицо,19,Санкт-Петербург,Общеобразовательная организация,970,425,30,47,59,392,17,0,970,19,4,1,2,2,9,1,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027802725610,7805093057,№0310,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,2692,True,True
"обл. Томская, г. Стрежевой, мкр. 3-й, дом 314, 636782",83825951261,Неизвестно,DBC@guostrj.ru,https://цэвд-стрежевой.рф,False,Cайт не работает или не существует,Cайт не работает или не существует,Cайт не работает или не существует,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,57,"Муниципальное образовательное учреждение дополнительного образования ""Детский эколого-биологический центр городского округа Стрежевой""","МОУДО ""ДЭБЦ"" г. Стрежевой",1981-01-01,Юридическое лицо,29,Томская область,Организация дополнительного образования,1341,300,920,0,24,0,97,0,1341,18,5,10,0,1,0,2,0,Неизвестно,Неизвестно,1027001621921,7022008246,1767,"Комитет по контролю,надзору и лицензированию в сфере образования Томской области",Бессрочная,2252,False,True
"обл. Воронежская, р-н. Семилукский, г. Семилуки, ул. Чапаева, дом 27, 396900",84737221090,Неизвестно,syt.sem@yandex.ru,http://sytsem.ru/,True, Семилукская станция юных техников  – Главная страница ,"
   Семилукская станция юных техников
","
 
",True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,28,Муниципальное казенное учреждение дополнительного образования станция юных техников г. Семилуки Воронежской области.,МКУ ДО СЮТ г. Семилуки,Не известно,Юридическое лицо,6,Воронежская область,Организация дополнительного образования,70,25,0,45,0,0,0,0,70,3,1,0,2,0,0,0,0,Неизвестно,Неизвестно,1023601314714,3628005976,ДЛ-690,"Департамент образования, науки и молодежной политики Воронежской области",Бессрочная,855,True,False
"г. Санкт-Петербург, ул. Ярослава Гашека, дом 4, кор. 4, 192281",88127782131,Неизвестно,school553@edu-frn.spb.ru,https://spbschool553.com,True,Cайт не работает или не существует,У сайта неизвестная кодировка,У сайта неизвестная кодировка,False,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №553 с углубленным изучением английского языка Фрунзенского района Санкт-Петербурга,ГБОУ СОШ №553 с углубленным изучением английского языка Фрунзенского района Санкт-Петербурга,1988-10-25,Юридическое лицо,74,Санкт-Петербург,Общеобразовательная организация,556,247,0,30,150,129,0,0,556,17,6,0,1,5,5,0,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1027807992728,7816167751,78Л03 №0001948,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,3107,True,False
"г. Санкт-Петербург, пр-кт. Витебский, 190000",88124176539,88124176538,school362spb@yandex.ru,http://school362.ru,True,ГБОУ школа № 362 Московского района Санкт-Петербурга - Главная страница,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,Нет аккаунта,10,Государственное общеобразовательное учреждение средняя общеобразовательная школа №362 Московского района Санкт-Петербурга,ГБОУ СОШ №362 Московского района Санкт-Петербурга,1961-09-01,Юридическое лицо,112,Санкт-Петербург,Общеобразовательная организация,1015,270,54,264,166,204,57,0,1132,37,9,2,10,8,5,3,0,Государственная собственность,Государственные бюджетные учреждения субъектов Российской Федерации,1037821003769,7810214860,78 №002384,Правительство Санкт-Петербурга Комитет по образованию,Бессрочная,3694,True,True
"обл. Челябинская, г. Челябинск, пр-кт. Свердловский, дом 59, 454090",83512634395,Неизвестно,dtum@list.ru,https://chel-dpsh.ru,True,Дворец пионеров и школьников им.Н.К.Крупской г.Челябинска,Не найдено,Не найдено,True,Нет аккаунта,Нет аккаунта,6486,{'https://vk.com/palacechelyabinsk'},93,"{'https://www.youtube.com/user/PalaceChelyabinsk/videos', 'https://www.youtube.com/user/PalaceChelyabinsk/videos?view_as=public'}",61,Муниципальное автономное учреждение дополнительного образования «Дворец пионеров и школьников им. Н.К. Крупской г. Челябинска»,МАУДО ДПШ им. Н.К. Крупской г. Челябинска,1995-08-28,Юридическое лицо,303,Челябинская область,Организация дополнительного образования,11062,5188,719,1922,1713,1347,173,0,11062,176,60,4,21,57,32,2,0,Государственная собственность,Муниципальные автономные учреждения,1027403888071,7453045700,0002603,Министерство образования и науки Челябинской области,Бессрочная,5250,True,True
